task,episode,steps,dPlate,bowlz,maxlift,peaklift,pmove,refok,refpm,holdd,holdz,retq,btilt,bzmin,bimp,bpen,pmax,bpush,slip,ltilt,ikfail,rotacc,nclose,ok,distmax,distobj,strict,strict_why,close_q,d_x,d_y,tip_rim,hold_drift,lost_n,termhold,reject_n,ok013,ok020,ok030,ok050
7,1,28.0,0.0425,0.9215,0.1433,0.1433,0.0067,-1.0,0.0015,0.0356,0.9113,-1.0,38.7,0.9105,5.0,0.0014,0.007,0.0,0.0721,38.7,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,,4,-0.005,0.028,-0.021,0.0,1,1,0,0,0,0,1
7,10,30.0,0.021,0.915,0.1453,0.1453,0.0245,20.0,0.0246,0.02,0.9154,-1.0,41.6,0.9076,6.0,0.0043,0.0257,0.0,0.0719,41.6,0.0,0.5,1.0,1.0,0.0,distractor_bowl,0,"pmax=0.0257,bpen=0.0043",4,-0.003,0.03,-0.02,0.0004,0,1,0,0,0,1,1
7,11,63.0,0.0398,0.9068,0.1447,0.1447,0.0917,52.0,0.0809,0.0299,0.9082,-1.0,38.6,0.8979,9.0,0.0332,0.0809,0.0,0.1698,38.6,0.0,0.5,1.0,0.0,0.0079,cookies,0,"pmax=0.0809,bpen=0.0332",4,-0.003,0.029,-0.018,0.0018,0,1,0,0,0,1,1
7,12,350.0,0.2649,0.9019,0.139,0.139,0.1305,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,0.8978,34.0,0.0333,0.1398,0.0,0.0745,40.0,0.0,0.5,1.0,0.0,0.0467,ramekin,0,,4,-0.002,0.031,-0.019,,0,0,0,0,0,0,0
7,13,31.0,0.0467,0.9196,0.1426,0.1426,0.0198,-1.0,0.0177,0.0244,0.918,-1.0,38.5,0.9093,5.0,0.0027,0.0202,0.0,0.0738,38.5,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,,4,-0.003,0.027,-0.017,0.0,1,1,1,0,0,1,1
7,14,30.0,0.0447,0.9114,0.1505,0.1505,0.0423,19.0,0.0312,0.0132,0.9115,-1.0,39.5,0.9102,6.0,0.0017,0.0313,0.0,0.0755,39.5,0.0,0.4744,1.0,0.0,0.0,distractor_bowl,0,pmax=0.0313,4,-0.001,0.029,-0.017,0.0,0,1,0,0,1,1,1
7,15,28.0,0.0564,0.9222,0.1346,0.1346,0.002,-1.0,0.0003,0.0414,0.9137,-1.0,36.3,0.9103,4.0,0.0016,0.002,0.0,0.0845,36.3,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,,4,-0.002,0.026,-0.02,0.002,1,1,0,0,0,0,1
7,16,28.0,0.0522,0.9141,0.127,0.127,0.0013,-1.0,0.0019,0.028,0.9113,-1.0,41.9,0.9076,4.0,0.0043,0.0019,0.0,0.0773,41.9,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,,4,-0.003,0.027,-0.022,0.0002,1,1,0,0,0,1,1
7,17,28.0,0.0509,0.9205,0.1489,0.1489,0.0038,-1.0,0.0029,0.035,0.9112,-1.0,41.7,0.91,6.0,0.0019,0.0038,0.0,0.0749,41.7,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,,4,-0.005,0.029,-0.022,0.0,1,1,0,0,0,0,1
7,18,30.0,0.0365,0.9153,0.1507,0.1507,0.029,19.0,0.0306,0.0191,0.9138,-1.0,42.6,0.9077,6.0,0.0042,0.0306,0.0,0.0725,42.6,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,"pmax=0.0306,bpen=0.0042",4,-0.003,0.03,-0.019,0.0015,0,1,0,0,1,1,1
7,19,350.0,0.2161,0.8979,0.1445,0.1445,0.181,-1.0,0.0384,0.0373,0.9187,-1.0,35.1,0.8979,17.0,0.0333,0.181,0.0,0.1508,35.1,2.0,0.5,1.0,0.0,0.0573,cookies,0,,4,-0.002,0.031,-0.017,0.0303,0,0,1,0,0,0,1
7,2,32.0,0.0094,0.9112,0.1631,0.1631,0.0235,21.0,0.0237,0.0087,0.9112,-1.0,42.2,0.9109,6.0,0.001,0.0237,0.0,0.0768,42.2,0.0,0.5,1.0,1.0,0.0,distractor_bowl,0,pmax=0.0237,4,-0.003,0.029,-0.017,0.0004,0,1,0,1,1,1,1
7,20,43.0,0.0344,0.9194,0.1785,0.1785,0.0297,-1.0,0.0288,0.0326,0.9128,-1.0,40.5,0.9116,7.0,0.0003,0.0297,0.0,0.0768,40.5,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,,4,-0.007,0.028,-0.02,0.004,2,1,0,0,0,0,1
7,21,350.0,0.1976,0.901,0.0982,0.0982,0.2466,-1.0,-1.0,-1.0,-1.0,-1.0,32.0,0.8983,13.0,0.0326,0.2466,0.0,0.1038,22.2,1489.0,0.5,1.0,0.0,0.0758,cookies,0,,4,-0.002,0.028,-0.018,,0,0,0,0,0,0,0
7,22,350.0,0.4774,0.9311,0.0101,0.0101,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.1,0.9311,2.0,0.0,0.0,0.0,0.596,0.0,0.0,0.5,1.0,0.0,1.1024,ramekin,0,,4,-0.003,0.028,-0.017,,0,0,0,0,0,0,0
7,23,31.0,0.0316,0.9142,0.1517,0.1517,0.0234,20.0,0.0205,0.0194,0.9129,-1.0,42.4,0.9112,6.0,0.0007,0.0208,0.0,0.0762,42.4,0.0,0.4841,1.0,0.0,0.0,distractor_bowl,0,pmax=0.0208,4,-0.002,0.032,-0.021,0.0009,0,1,0,0,1,1,1
7,24,27.0,0.042,0.9199,0.1308,0.1308,0.0055,-1.0,0.0057,0.0312,0.9114,-1.0,35.2,0.9113,5.0,0.0006,0.0067,0.0,0.0728,35.2,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,,4,-0.004,0.03,-0.02,0.0,1,1,0,0,0,0,1
7,25,350.0,0.2282,0.898,0.1565,0.1565,0.1293,-1.0,-1.0,-1.0,-1.0,-1.0,56.0,0.8979,25.0,0.0332,0.1293,0.0,0.1508,32.9,0.0,0.5,1.0,0.0,0.21,cookies,0,,4,-0.003,0.029,-0.018,,0,0,0,0,0,0,0
7,26,350.0,0.2594,0.9077,0.1314,0.1314,0.1402,-1.0,-1.0,-1.0,-1.0,-1.0,51.9,0.8979,15.0,0.0332,0.1402,0.0,0.1569,34.3,0.0,0.5,1.0,0.0,0.186,cookies,0,,4,0.0,0.03,-0.012,,0,0,0,0,0,0,0
7,27,28.0,0.0624,0.9223,0.1423,0.1423,0.0287,-1.0,0.0157,0.0339,0.911,-1.0,37.1,0.911,7.0,0.013,0.0287,0.0,0.0679,37.1,0.0,0.5,1.0,0.0,0.0,ramekin,0,,4,-0.003,0.028,-0.02,0.0,1,1,0,0,0,0,1
7,28,28.0,0.0551,0.922,0.1245,0.1245,0.0007,-1.0,0.0007,0.0389,0.9111,-1.0,38.8,0.909,5.0,0.0029,0.0021,0.0,0.07,38.8,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,,4,-0.001,0.026,-0.019,0.0009,1,1,0,0,0,0,1
7,29,30.0,0.0334,0.9124,0.1493,0.1493,0.0101,19.0,0.0189,0.0098,0.9113,-1.0,38.9,0.9099,6.0,0.002,0.0189,0.0,0.0753,38.9,0.0,0.5,1.0,0.0,0.0,ramekin,0,pmax=0.0189,4,-0.002,0.028,-0.02,0.0001,0,1,0,1,1,1,1
7,3,29.0,0.0398,0.9207,0.1284,0.1284,0.0142,-1.0,0.0015,0.0355,0.9111,-1.0,36.6,0.9111,5.0,0.0008,0.0148,0.0,0.0718,36.6,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,,4,-0.001,0.032,-0.019,0.0,1,1,0,0,0,0,1
7,30,32.0,0.0075,0.911,0.1546,0.1546,0.032,21.0,0.0345,0.0067,0.9124,-1.0,39.0,0.908,6.0,0.0039,0.0345,0.0,0.0753,39.0,0.0,0.5,1.0,0.0,0.0,ramekin,0,"pmax=0.0345,bpen=0.0039",4,-0.004,0.03,-0.015,0.0006,0,1,0,1,1,1,1
7,31,28.0,0.0351,0.9108,0.1378,0.1378,0.0128,17.0,0.0129,0.0297,0.911,-1.0,41.0,0.9095,5.0,0.0024,0.0129,0.0,0.0683,41.0,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,pmax=0.0129,4,-0.005,0.03,-0.021,0.0,0,1,0,0,0,1,1
7,32,350.0,0.2379,0.9041,0.138,0.138,0.2342,-1.0,-1.0,-1.0,-1.0,-1.0,40.7,0.8981,11.0,0.0331,0.2342,0.0,0.0739,40.7,1006.0,0.5,1.0,0.0,0.0693,cookies,0,,4,-0.001,0.032,-0.019,,0,0,0,0,0,0,0
7,33,30.0,0.025,0.9114,0.1618,0.1618,0.0385,19.0,0.0281,0.005,0.9114,-1.0,40.8,0.9111,6.0,0.0008,0.0281,0.0,0.0769,40.8,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,pmax=0.0281,4,-0.001,0.028,-0.02,0.0,0,1,0,1,1,1,1
7,34,350.0,0.0604,0.898,0.1364,0.1364,0.1026,-1.0,-1.0,-1.0,-1.0,-1.0,42.0,0.898,43.0,0.0331,0.1042,0.0,0.0979,42.0,0.0,0.5,1.0,0.0,0.0147,cookies,0,,4,-0.001,0.03,-0.02,,0,0,0,0,0,0,0
7,35,30.0,0.0184,0.9116,0.1538,0.1538,0.0055,19.0,0.0049,0.0207,0.9115,-1.0,36.0,0.9098,6.0,0.0022,0.0052,0.0,0.0736,36.0,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,pmax=0.0052,4,-0.003,0.031,-0.017,0.0,0,1,0,0,0,1,1
7,36,31.0,0.0133,0.9128,0.156,0.156,0.0222,20.0,0.0252,0.0046,0.9117,-1.0,36.9,0.9112,6.0,0.0007,0.0252,0.0,0.0759,36.9,0.0,0.4825,1.0,0.0,0.0,distractor_bowl,0,pmax=0.0252,4,-0.003,0.032,-0.016,0.0045,0,1,0,1,1,1,1
7,37,29.0,0.0436,0.9217,0.1396,0.1396,0.0021,-1.0,0.0021,0.0327,0.9113,-1.0,38.6,0.9099,5.0,0.002,0.0043,0.0,0.0755,38.6,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,,4,-0.003,0.03,-0.019,0.0,1,1,0,0,0,0,1
7,38,30.0,0.024,0.9117,0.1412,0.1412,0.0142,19.0,0.0143,0.0122,0.9114,-1.0,38.5,0.9113,5.0,0.0006,0.0143,0.0,0.0795,38.5,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,pmax=0.0143,4,-0.002,0.032,-0.016,0.0,0,1,0,1,1,1,1
7,39,31.0,0.0241,0.912,0.1432,0.1432,0.0269,20.0,0.0299,0.0314,0.9119,-1.0,41.2,0.9099,5.0,0.002,0.0299,0.0,0.0791,41.2,3.0,0.5,1.0,0.0,0.0,distractor_bowl,0,pmax=0.0299,4,-0.0,0.032,-0.017,0.0011,0,1,0,0,0,0,1
7,4,26.0,0.0504,0.9193,0.1199,0.1199,0.0008,-1.0,0.0009,0.0454,0.9113,-1.0,38.2,0.9117,4.0,0.0002,0.0009,0.0,0.0897,38.2,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,,4,-0.001,0.033,-0.023,0.0002,1,1,1,0,0,0,1
7,40,35.0,0.0542,0.9215,0.1465,0.1465,0.0146,-1.0,0.0357,0.0171,0.9138,-1.0,39.8,0.9097,4.0,0.0022,0.0402,0.0,0.0794,39.2,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,,4,-0.006,0.029,-0.023,0.0104,1,1,1,0,1,1,1
7,41,35.0,0.0213,0.9115,0.1754,0.1754,0.0513,24.0,0.0496,0.0238,0.9113,-1.0,42.4,0.9101,6.0,0.0018,0.0496,0.0,0.085,42.4,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,pmax=0.0496,4,-0.002,0.03,-0.019,0.0008,0,1,0,0,0,1,1
7,42,31.0,0.0257,0.9123,0.1361,0.1361,0.0076,20.0,0.009,0.007,0.9132,-1.0,36.6,0.9114,6.0,0.0005,0.0092,0.0,0.0712,36.6,0.0,0.5,1.0,0.0,0.0,ramekin,0,pmax=0.0092,4,-0.003,0.028,-0.022,0.0005,0,1,0,1,1,1,1
7,43,350.0,0.1634,0.8979,0.1283,0.1283,0.1157,-1.0,-1.0,-1.0,-1.0,-1.0,36.9,0.8979,3.0,0.0332,0.1157,0.0,0.1554,36.9,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,,4,-0.003,0.028,-0.017,,0,0,0,0,0,0,0
7,44,29.0,0.0402,0.9145,0.1465,0.1465,0.0014,18.0,0.0064,0.0212,0.9116,-1.0,39.6,0.9113,6.0,0.0006,0.0064,0.0,0.072,39.6,0.0,0.5,1.0,0.0,0.0,ramekin,0,pmax=0.0064,4,-0.003,0.027,-0.018,0.001,0,1,0,0,0,1,1
7,45,32.0,0.0362,0.9119,0.1623,0.1623,0.0475,23.0,0.0475,0.0362,0.9121,-1.0,43.0,0.9119,6.0,0.0,0.0475,0.0,0.0747,43.0,44.0,0.5,1.0,1.0,0.0,distractor_bowl,0,pmax=0.0475,4,-0.003,0.028,-0.015,0.0002,0,1,0,0,0,0,1
7,46,31.0,0.0339,0.9117,0.1379,0.1379,0.0108,20.0,0.0109,0.0293,0.9112,-1.0,40.7,0.9098,5.0,0.0021,0.0109,0.0,0.0705,40.7,0.0,0.5,1.0,0.0,0.0,ramekin,0,pmax=0.0109,4,-0.004,0.027,-0.02,0.0001,0,1,0,0,0,1,1
